date,value
2011-12-30,1.5631844179296417
2011-12-31,1.5631844179296417
2012-01-01,1.5631844179296417
2012-01-02,1.5631844179296417
2012-01-03,1.5631844179296417
2012-01-04,1.5631844179296417
2012-01-05,1.5631844179296417
2012-01-06,1.5631844179296417
2012-01-07,1.5631844179296417
2012-01-08,1.5631844179296417
2012-01-09,1.5631844179296417
2012-01-10,32.47574455290061
2012-01-11,1.5631844179296417
2012-01-12,1.5631844179296417
2012-01-13,56.206823119473704
2012-01-14,1.5631844179296417
2012-01-15,1.5631844179296417
2012-01-16,1.5631844179296417
2012-01-17,1.5631844179296417
2012-01-18,1.5631844179296417
2012-01-19,1.5631844179296417
2012-01-20,33.81976890659501
2012-01-21,1.5631844179296417
2012-01-22,1.5631844179296417
2012-01-23,1.5631844179296417
2012-01-24,1.5631844179296417
2012-01-25,1.5631844179296417
2012-01-26,1.5631844179296417
2012-01-27,2.2303526000630227
2012-01-28,2.2303526000630227
2012-01-29,2.2303526000630227
2012-01-30,2.2303526000630227
2012-01-31,104.82657220296207
2012-02-01,2.2303526000630227
2012-02-02,104.82657220296207
2012-02-03,109.28727740308813
2012-02-04,2.2303526000630227
2012-02-05,2.2303526000630227
2012-02-06,2.2303526000630227
2012-02-07,104.82657220296207
2012-02-08,2.2303526000630227
2012-02-09,2.2303526000630227
2012-02-10,2.2303526000630227
2012-02-11,2.2303526000630227
2012-02-12,2.2303526000630227
2012-02-13,2.2303526000630227
2012-02-14,2.2303526000630227
2012-02-15,2.2303526000630227
2012-02-16,2.2303526000630227
2012-02-17,2.2303526000630227
2012-02-18,2.2303526000630227
2012-02-19,124.89974560352928
2012-02-20,2.2303526000630227
2012-02-21,2.2303526000630227
2012-02-22,2.2303526000630227
2012-02-23,2.2303526000630227
2012-02-24,2.2303526000630227
2012-02-25,2.2303526000630227
2012-02-26,2.2303526000630227
2012-02-27,2.2303526000630227
2012-02-28,2.2303526000630227
2012-02-29,2.2303526000630227
2012-03-01,2.2303526000630227
2012-03-02,2.2303526000630227
2012-03-03,2.2303526000630227
2012-03-04,2.2303526000630227
2012-03-05,2.2303526000630227
2012-03-06,102.59621960289905
2012-03-07,2.2303526000630227
2012-03-08,2.2303526000630227
2012-03-09,2.2303526000630227
2012-03-10,2.2303526000630227
2012-03-11,2.2303526000630227
2012-03-12,2.2303526000630227
2012-03-13,2.2303526000630227
2012-03-14,2.2303526000630227
2012-03-15,2.2303526000630227
2012-03-16,2.2303526000630227
2012-03-17,2.2303526000630227
2012-03-18,2.2303526000630227
2012-03-19,2.2303526000630227
2012-03-20,2.2303526000630227
2012-03-21,2.2303526000630227
2012-03-22,2.2303526000630227
2012-03-23,2.2303526000630227
2012-03-24,2.2303526000630227
2012-03-25,2.2303526000630227
2012-03-26,2.2303526000630227
2012-03-27,2.2303526000630227
2012-03-28,2.2303526000630227
2012-03-29,2.2303526000630227
2012-03-30,2.2303526000630227
2012-03-31,2.2303526000630227
2012-04-01,2.2303526000630227
2012-04-02,2.2303526000630227
2012-04-03,2.2303526000630227
2012-04-04,2.2303526000630227
2012-04-05,111.51763000315115
2012-04-06,2.2303526000630227
2012-04-07,2.2303526000630227
2012-04-08,2.2303526000630227
2012-04-09,2.2303526000630227
2012-04-10,2.2303526000630227
2012-04-11,102.59621960289905
2012-04-12,2.2303526000630227
2012-04-13,2.2303526000630227
2012-04-14,2.2303526000630227
2012-04-15,2.2303526000630227
2012-04-16,2.2303526000630227
2012-04-17,2.2303526000630227
2012-04-18,2.2303526000630227
2012-04-19,104.82657220296207
2012-04-20,2.2303526000630227
2012-04-21,2.2303526000630227
2012-04-22,2.2303526000630227
2012-04-23,2.2303526000630227
2012-04-24,2.2303526000630227
2012-04-25,2.2303526000630227
2012-04-26,2.2303526000630227
2012-04-27,2.2303526000630227
2012-04-28,2.2303526000630227
2012-04-29,2.2303526000630227
2012-04-30,2.2303526000630227
2012-05-01,2.2303526000630227
2012-05-02,2.2303526000630227
2012-05-03,2.2303526000630227
2012-05-04,2.2303526000630227
2012-05-05,2.2303526000630227
2012-05-06,2.2303526000630227
2012-05-07,2.2303526000630227
2012-05-08,2.2303526000630227
2012-05-09,2.2303526000630227
2012-05-10,2.2303526000630227
2012-05-11,2.2303526000630227
2012-05-12,2.2303526000630227
2012-05-13,2.2303526000630227
2012-05-14,2.2303526000630227
2012-05-15,2.2303526000630227
2012-05-16,2.2303526000630227
2012-05-17,2.2303526000630227
2012-05-18,2.2303526000630227
2012-05-19,2.2303526000630227
2012-05-20,2.2303526000630227
2012-05-21,2.2303526000630227
2012-05-22,2.2303526000630227
2012-05-23,2.2303526000630227
2012-05-24,2.2303526000630227
2012-05-25,2.2303526000630227
2012-05-26,2.2303526000630227
2012-05-27,2.2303526000630227
2012-05-28,2.2303526000630227
2012-05-29,2.2303526000630227
2012-05-30,2.2303526000630227
2012-05-31,2.2303526000630227
2012-06-01,2.2303526000630227
2012-06-02,2.2303526000630227
2012-06-03,2.2303526000630227
2012-06-04,2.2303526000630227
